,brand,device_name,model,color,ram,rom,is_5g,processor_brand,processor,display_size,frontcamera,backcamera,battery,price,ratings
635,Realme,Realme 13 Pro 5G , 13 Pro 5G ,Monet Gold,8,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 2MP ,5200,28999,5492
636,Realme,Realme C65 5G , C65 5G ,Feather Green,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.67 , 8MP ,50MP Rear Camera ,5000,12499,850
637,Vivo,Vivo Y18t , Y18t ,Space Black,4,128,False,Unisoc,Unisoc T612 ,6.56 , 8MP ,50MP + 0.08MP ,5000,9499,78
638,Samsung,Samsung Galaxy S23 Ultra 5G , Galaxy S23 Ultra 5G ,Cream,12,512,True,Snapdragon, Snapdragon 8 Gen 2 ,6.8 , 12MP ,200MP + 10MP + 12MP + 10MP ,5000,161999,3912
639,Realme,Realme 13+ 5G , 13+ 5G ,Speed Green,8,128,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.67 , 16MP ,50MP + 2MP ,5000,19999,1821
640,Realme,Realme 13+ 5G , 13+ 5G ,Speed Green,8,256,True,Mediatek,Mediatek Dimensity 7300 Energy ,6.67 , 16MP ,50MP + 2MP ,5000,21499,1821
641,Realme,Realme 3 Pro , 3 Pro ,Nitro Blue,4,64,False,Snapdragon, Snapdragon 710 Octa Core 2.2 GHz AIE ,6.3 , 25MP ,16MP + 5MP ,4045,15999,346857
642,Vivo,Vivo Y28s 5G , Y28s 5G ,Vintage Red,8,128,True,Mediatek,Mediatek Dimensity 6300 ,6.56 , 8MP ,50MP + 0.08MP ,5000,15999,288
644,Vivo,Vivo Y28e 5G , Y28e 5G ,Vintage Red,4,128,True,Mediatek,Mediatek Dimensity 6300 ,6.56 , 5MP ,13MP + 0.08MP ,5000,10999,492
646,Poco,Poco X7 5G , X7 5G ,Cosmic Silver,8,256,True,Mediatek,Mediatek Dimensity 7300 Ultra ,6.67 , 20MP ,50MP + 8MP + 2MP ,5500,23999,540
647,Redmi,Redmi 13C , 13C ,Starfrost White,4,128,False,Mediatek,Mediatek Helio G85 ,6.74 , 8MP ,50MP Rear Camera ,5000,7199,79198
648,Redmi,Redmi Note 14 Pro+ 5G , Note 14 Pro+ 5G ,Titan Black,8,128,True,Snapdragon,Snapdragon 7s Gen 3 ,6.67 , 20MP ,50MP + 50MP + 8MP ,6200,30999,750
649,Vivo,Vivo Y18t , Y18t ,Gem Green,4,128,False,Unisoc,Unisoc T612 ,6.56 , 8MP ,50MP + 0.08MP ,5000,9499,78
650,Realme,Realme P2 Pro 5G , P2 Pro 5G ,Parrot Green,12,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP ,5200,21999,4885
651,Redmi,Redmi Note 13 Pro+ 5G , Note 13 Pro+ 5G ,Fusion Black,8,256,True,Mediatek,Mediatek Dimensity 7200 Ultra 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5000,22899,16089
652,Redmi,Redmi Note 13 Pro 5G , Note 13 Pro 5G ,Midnight Black,8,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5100,21480,33371
653,Redmi,Redmi Note 13 Pro 5G , Note 13 Pro 5G ,Coral Purple,12,256,True,Snapdragon,Snapdragon 7s Gen 2 Mobile Platform 5G ,6.67 , 16MP ,200MP (OIS) + 8MP + 2MP ,5100,23478,8803
654,Oppo,Oppo Reno13 Pro 5G , Reno13 Pro 5G ,Mist Lavender,12,256,True,Mediatek,Mediatek Dimensity 8350 ,6.83 , 50MP ,50MP + 50MP + 8MP ,5800,49999,237
655,Realme,Realme 13 Pro 5G , 13 Pro 5G ,Monet Gold,8,128,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 2MP ,5200,26999,5492
656,Realme,Realme 13 Pro 5G , 13 Pro 5G ,Monet Purple,8,256,True,Snapdragon,Snapdragon 7s Gen2 ,6.7 , 32MP ,50MP + 8MP + 2MP ,5200,28999,5492
657,Infinix,Infinix Note 40 Pro 5G , Note 40 Pro 5G ,Gold,8,256,True,Mediatek,Mediatek Dimensity 7020 ,6.78 , 32MP ,108MP (OIS) + 2MP + 2MP ,5000,19999,34289
